==>No: 7 epoch, time: 5.35, loss: 0.05542
==>No: 8 epoch, time: 5.35, loss: 0.05334
==>No: 9 epoch, time: 5.35, loss: 0.05224
==>No: 10 epoch, time: 5.35, loss: 0.05110
==>No: 11 epoch, time: 5.35, loss: 0.05016
==>No: 12 epoch, time: 5.35, loss: 0.04925
==>No: 13 epoch, time: 5.35, loss: 0.04845
==>No: 14 epoch, time: 5.35, loss: 0.04780
==>No: 15 epoch, time: 5.35, loss: 0.04723
==>No: 16 epoch, time: 5.35, loss: 0.04670
==>No: 17 epoch, time: 5.35, loss: 0.04618
==>No: 18 epoch, time: 5.35, loss: 0.04565
==>No: 19 epoch, time: 5.35, loss: 0.04523
==>No: 20 epoch, time: 5.35, loss: 0.04480
==>No: 21 epoch, time: 5.35, loss: 0.04413
==>No: 22 epoch, time: 5.35, loss: 0.04364
==>No: 23 epoch, time: 5.35, loss: 0.04319
==>No: 24 epoch, time: 5.35, loss: 0.04254
==>No: 25 epoch, time: 5.35, loss: 0.04218
==>No: 26 epoch, time: 5.35, loss: 0.04178
==>No: 27 epoch, time: 5.35, loss: 0.04135
==>No: 28 epoch, time: 5.35, loss: 0.04084
==>No: 29 epoch, time: 5.35, loss: 0.04039
==>No: 30 epoch, time: 5.35, loss: 0.04041
==>No: 31 epoch, time: 5.35, loss: 0.03986
==>No: 32 epoch, time: 5.35, loss: 0.03911
==>No: 33 epoch, time: 5.35, loss: 0.03904
==>No: 34 epoch, time: 5.35, loss: 0.03916
==>No: 35 epoch, time: 5.35, loss: 0.03909
==>No: 36 epoch, time: 5.35, loss: 0.03808
==>No: 37 epoch, time: 5.35, loss: 0.03759
==>No: 38 epoch, time: 5.35, loss: 0.03757
==>No: 39 epoch, time: 5.35, loss: 0.03730
==>No: 40 epoch, time: 5.35, loss: 0.03704
==>No: 41 epoch, time: 5.35, loss: 0.03683
==>No: 42 epoch, time: 5.35, loss: 0.03636
==>No: 43 epoch, time: 5.35, loss: 0.03582
==>No: 44 epoch, time: 5.35, loss: 0.03605
==>No: 45 epoch, time: 5.35, loss: 0.03591
==>No: 46 epoch, time: 5.35, loss: 0.03539
==>No: 47 epoch, time: 5.35, loss: 0.03508
==>No: 48 epoch, time: 5.35, loss: 0.03526
==>No: 49 epoch, time: 5.35, loss: 0.03474
==>No: 50 epoch, time: 5.35, loss: 0.03477
==>No: 51 epoch, time: 5.35, loss: 0.03420
==>No: 52 epoch, time: 5.34, loss: 0.03407
==>No: 53 epoch, time: 5.34, loss: 0.03288
==>No: 54 epoch, time: 5.34, loss: 0.03232
==>No: 55 epoch, time: 5.34, loss: 0.03183
==>No: 56 epoch, time: 5.34, loss: 0.03139
==>No: 57 epoch, time: 5.34, loss: 0.03093
==>No: 58 epoch, time: 5.33, loss: 0.03041
==>No: 59 epoch, time: 5.33, loss: 0.03017
==>No: 60 epoch, time: 5.34, loss: 0.03004
==>No: 61 epoch, time: 5.34, loss: 0.03007
==>No: 62 epoch, time: 5.35, loss: 0.02922
==>No: 63 epoch, time: 5.35, loss: 0.02883
==>No: 64 epoch, time: 5.34, loss: 0.02837
==>No: 65 epoch, time: 5.34, loss: 0.02817
==>No: 66 epoch, time: 5.34, loss: 0.02801
==>No: 67 epoch, time: 5.34, loss: 0.02778
==>No: 68 epoch, time: 5.34, loss: 0.02760
==>No: 69 epoch, time: 5.34, loss: 0.02737
==>No: 70 epoch, time: 5.34, loss: 0.02724
==>No: 71 epoch, time: 5.33, loss: 0.02697
==>No: 70 epoch, time: 5.35, loss: 0.02775
==>No: 70 epoch, time: 5.35, loss: 0.02732
==>No: 71 epoch, time: 5.35, loss: 0.02688
==>No: 72 epoch, time: 5.35, loss: 0.02668
==>No: 73 epoch, time: 5.38, loss: 0.02656
==>No: 74 epoch, time: 5.35, loss: 0.02654
==>No: 75 epoch, time: 5.35, loss: 0.02654
==>No: 76 epoch, time: 5.34, loss: 0.02653
==>No: 77 epoch, time: 5.34, loss: 0.02619
==>No: 78 epoch, time: 5.35, loss: 0.02589
==>No: 79 epoch, time: 5.34, loss: 0.02582
==>No: 80 epoch, time: 5.35, loss: 0.02565
==>No: 81 epoch, time: 5.35, loss: 0.02556
==>No: 82 epoch, time: 5.34, loss: 0.02539
==>No: 83 epoch, time: 5.34, loss: 0.02534
==>No: 84 epoch, time: 5.35, loss: 0.02524
==>No: 85 epoch, time: 5.35, loss: 0.02517
==>No: 86 epoch, time: 5.35, loss: 0.02505
==>No: 87 epoch, time: 5.35, loss: 0.02491
==>No: 88 epoch, time: 5.35, loss: 0.02492
==>No: 89 epoch, time: 5.34, loss: 0.02477
==>No: 90 epoch, time: 5.35, loss: 0.02458
==>No: 91 epoch, time: 5.34, loss: 0.02497
==>No: 92 epoch, time: 5.34, loss: 0.02456
==>No: 93 epoch, time: 5.35, loss: 0.02425
==>No: 94 epoch, time: 5.35, loss: 0.02398
==>No: 95 epoch, time: 5.34, loss: 0.02371
==>No: 96 epoch, time: 5.35, loss: 0.02360
==>No: 97 epoch, time: 5.34, loss: 0.02354
==>No: 98 epoch, time: 5.34, loss: 0.02348
==>No: 99 epoch, time: 5.35, loss: 0.02344
==>No: 100 epoch, time: 5.34, loss: 0.02339
==>No: 101 epoch, time: 5.34, loss: 0.02330
==>No: 102 epoch, time: 5.34, loss: 0.02319
==>No: 103 epoch, time: 5.34, loss: 0.02308
==>No: 104 epoch, time: 5.34, loss: 0.02296
==>No: 105 epoch, time: 5.34, loss: 0.02288
==>No: 106 epoch, time: 5.34, loss: 0.02283
==>No: 107 epoch, time: 5.34, loss: 0.02279
==>No: 108 epoch, time: 5.34, loss: 0.02273
==>No: 109 epoch, time: 5.34, loss: 0.02265
==>No: 110 epoch, time: 5.34, loss: 0.02261
==>No: 111 epoch, time: 5.34, loss: 0.02261
==>No: 112 epoch, time: 5.34, loss: 0.02261
==>No: 113 epoch, time: 5.34, loss: 0.02257
==>No: 114 epoch, time: 5.35, loss: 0.02239
==>No: 115 epoch, time: 5.34, loss: 0.02230
==>No: 116 epoch, time: 5.34, loss: 0.02224
==>No: 117 epoch, time: 5.35, loss: 0.02221
==>No: 118 epoch, time: 5.35, loss: 0.02212
==>No: 119 epoch, time: 5.34, loss: 0.02201
==>No: 120 epoch, time: 5.35, loss: 0.02196
==>No: 121 epoch, time: 5.35, loss: 0.02235
==>No: 122 epoch, time: 5.35, loss: 0.02213
==>No: 123 epoch, time: 5.35, loss: 0.02197
==>No: 124 epoch, time: 5.35, loss: 0.02186
==>No: 125 epoch, time: 5.35, loss: 0.02176
==>No: 126 epoch, time: 5.35, loss: 0.02166
==>No: 127 epoch, time: 5.34, loss: 0.02157
==>No: 128 epoch, time: 5.35, loss: 0.02149
==>No: 129 epoch, time: 5.35, loss: 0.02142
==>No: 130 epoch, time: 5.34, loss: 0.02135
==>No: 131 epoch, time: 5.34, loss: 0.02131
==>No: 132 epoch, time: 5.35, loss: 0.02127
==>No: 133 epoch, time: 5.34, loss: 0.02125
==>No: 134 epoch, time: 5.35, loss: 0.02120
==>No: 135 epoch, time: 5.35, loss: 0.02115
==>No: 136 epoch, time: 5.34, loss: 0.02123
==>No: 137 epoch, time: 5.34, loss: 0.02108
==>No: 138 epoch, time: 5.35, loss: 0.02101
==>No: 139 epoch, time: 5.34, loss: 0.02097
==>No: 140 epoch, time: 5.34, loss: 0.02096
==>No: 141 epoch, time: 5.35, loss: 0.02094
==>No: 142 epoch, time: 5.34, loss: 0.02089
==>No: 143 epoch, time: 5.34, loss: 0.02084
==>No: 144 epoch, time: 5.35, loss: 0.02079
==>No: 145 epoch, time: 5.34, loss: 0.02076
==>No: 146 epoch, time: 5.34, loss: 0.02072
==>No: 147 epoch, time: 5.35, loss: 0.02069
==>No: 148 epoch, time: 5.34, loss: 0.02065
==>No: 149 epoch, time: 5.35, loss: 0.02061
==>No: 150 epoch, time: 5.35, loss: 0.02059
==>No: 151 epoch, time: 5.42, loss: 0.02125
==>No: 152 epoch, time: 5.35, loss: 0.02109
==>No: 153 epoch, time: 5.35, loss: 0.02094
==>No: 154 epoch, time: 5.35, loss: 0.02083
==>No: 155 epoch, time: 5.35, loss: 0.02074
==>No: 156 epoch, time: 5.35, loss: 0.02067
==>No: 157 epoch, time: 5.35, loss: 0.02060
==>No: 158 epoch, time: 5.35, loss: 0.02054
==>No: 159 epoch, time: 5.35, loss: 0.02049
==>No: 160 epoch, time: 5.35, loss: 0.02044
==>No: 161 epoch, time: 5.35, loss: 0.02039
==>No: 162 epoch, time: 5.35, loss: 0.02035
==>No: 163 epoch, time: 5.35, loss: 0.02031
==>No: 164 epoch, time: 5.35, loss: 0.02028
==>No: 165 epoch, time: 5.35, loss: 0.02024
==>No: 166 epoch, time: 5.35, loss: 0.02021
==>No: 167 epoch, time: 5.35, loss: 0.02018
==>No: 168 epoch, time: 5.35, loss: 0.02015
==>No: 169 epoch, time: 5.35, loss: 0.02012
==>No: 170 epoch, time: 5.35, loss: 0.02009
==>No: 171 epoch, time: 5.35, loss: 0.02007
==>No: 172 epoch, time: 5.35, loss: 0.02005
==>No: 173 epoch, time: 5.35, loss: 0.02002
==>No: 171 epoch, time: 5.35, loss: 0.02014
==>No: 172 epoch, time: 5.34, loss: 0.02007
==>No: 173 epoch, time: 5.34, loss: 0.02004
==>No: 174 epoch, time: 5.34, loss: 0.02001
==>No: 175 epoch, time: 5.35, loss: 0.01999
==>No: 176 epoch, time: 5.34, loss: 0.01996
==>No: 177 epoch, time: 5.34, loss: 0.01993
==>No: 178 epoch, time: 5.35, loss: 0.01991
==>No: 179 epoch, time: 5.34, loss: 0.01988
==>No: 180 epoch, time: 5.35, loss: 0.01986
==>No: 181 epoch, time: 5.35, loss: 0.02002
==>No: 182 epoch, time: 5.34, loss: 0.02004
==>No: 183 epoch, time: 5.34, loss: 0.02004
==>No: 184 epoch, time: 5.34, loss: 0.02003
==>No: 185 epoch, time: 5.35, loss: 0.02001
==>No: 186 epoch, time: 5.34, loss: 0.01998
==>No: 187 epoch, time: 5.34, loss: 0.01996
==>No: 188 epoch, time: 5.34, loss: 0.01993
==>No: 189 epoch, time: 5.41, loss: 0.01990
==>No: 190 epoch, time: 5.35, loss: 0.01988
